backend  | INFO:     172.20.0.3:34426 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:34418 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:34436 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:34462 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:34434 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50800 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50814 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50812 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50824 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50838 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50822 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50842 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50840 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50858 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50868 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50882 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:50874 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47834 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47832 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47836 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47854 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47844 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47846 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47856 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47860 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:47862 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59270 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59272 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59296 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59308 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59316 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59306 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59322 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59326 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:59324 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60322 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60334 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60320 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60348 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60346 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60374 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60380 - "POST /auth/login HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60384 - "POST /auth/login HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60400 - "GET /api/telemetry HTTP/1.0" 401 Unauthorized
backend  | INFO:     172.20.0.3:60404 - "POST /api/comandos HTTP/1.0" 403 Forbidden
backend  | INFO:     172.20.0.3:60410 - "POST /api/comandos HTTP/1.0" 202 Accepted
backend  | INFO:     172.20.0.3:60426 - "GET /api/comandos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60420 - "GET /api/telemetry/last HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60422 - "GET /api/eventos?limit=10 HTTP/1.0" 200 OK
backend  | INFO:     172.20.0.3:60432 - "GET /api/telemetry?limit=5 HTTP/1.0" 200 OK
