edge  | [edge] TEL pos=(-3.98,-4.35) bat=70.98% status=moving
edge  | [edge] TEL pos=(-3.97,-4.06) bat=70.87% status=moving
edge  | [edge] TEL pos=(-3.97,-4.47) bat=70.72% status=moving
edge  | [edge] TEL pos=(-3.49,-4.57) bat=70.62% status=moving
edge  | [edge] TEL pos=(-3.26,-4.99) bat=70.54% status=moving
edge  | [edge] TEL pos=(-3.6,-5.28) bat=70.39% status=moving
edge  | [edge] TEL pos=(-3.26,-5.52) bat=70.28% status=moving
edge  | [edge] TEL pos=(-3.68,-5.69) bat=70.18% status=moving
edge  | [edge] TEL pos=(-3.19,-6.11) bat=70.12% status=moving
edge  | [edge] TEL pos=(-3.65,-5.61) bat=69.99% status=moving
edge  | [edge] TEL pos=(-3.41,-5.45) bat=69.88% status=moving
edge  | [edge] TEL pos=(-3.34,-5.36) bat=69.82% status=moving
edge  | [edge] TEL pos=(-3.27,-5.15) bat=69.75% status=moving
edge  | [edge] Evento: obstaculo en (-2.94,-5.46)
edge  | [edge] TEL pos=(-2.94,-5.46) bat=69.62% status=moving
edge  | [edge] TEL pos=(-2.94,-5.1) bat=69.55% status=moving
edge  | [edge] TEL pos=(-3.13,-5.43) bat=69.47% status=moving
edge  | [edge] TEL pos=(-3.12,-5.76) bat=69.4% status=moving
edge  | [edge] TEL pos=(-3.5,-6.03) bat=69.3% status=moving
edge  | [edge] TEL pos=(-3.14,-5.79) bat=69.24% status=moving
edge  | [edge] TEL pos=(-2.86,-6.27) bat=69.15% status=moving
edge  | [edge] TEL pos=(-3.02,-6.66) bat=69.01% status=moving
edge  | [edge] TEL pos=(-3.31,-6.35) bat=68.87% status=moving
edge  | [edge] TEL pos=(-3.31,-6.41) bat=68.8% status=moving
edge  | [edge] TEL pos=(-3.34,-6.02) bat=68.71% status=moving
edge  | [edge] TEL pos=(-3.78,-6.22) bat=68.64% status=moving
edge  | [edge] TEL pos=(-3.68,-6.33) bat=68.52% status=moving
edge  | [edge] TEL pos=(-3.32,-6.67) bat=68.44% status=moving
edge  | [edge] TEL pos=(-3.23,-6.45) bat=68.3% status=moving
edge  | [edge] TEL pos=(-3.1,-6.45) bat=68.19% status=moving
edge  | [edge] TEL pos=(-2.68,-6.52) bat=68.06% status=moving
edge  | [edge] TEL pos=(-2.7,-6.94) bat=67.92% status=moving
edge  | [edge] TEL pos=(-2.59,-7.23) bat=67.78% status=moving
edge  | [edge] TEL pos=(-2.66,-7.02) bat=67.7% status=moving
edge  | [edge] TEL pos=(-2.25,-6.73) bat=67.56% status=moving
edge  | [edge] TEL pos=(-1.92,-6.57) bat=67.46% status=moving
edge  | [edge] TEL pos=(-1.79,-6.77) bat=67.34% status=moving
edge  | [edge] TEL pos=(-2.13,-7.0) bat=67.21% status=moving
edge  | [edge] TEL pos=(-1.67,-6.76) bat=67.11% status=moving
edge  | [edge] TEL pos=(-1.61,-6.71) bat=67.01% status=moving
edge  | [edge] TEL pos=(-1.3,-6.98) bat=66.87% status=moving
edge  | [edge] TEL pos=(-0.9,-6.5) bat=66.76% status=moving
edge  | [edge] TEL pos=(-0.57,-6.17) bat=66.68% status=moving
edge  | [edge] TEL pos=(-0.47,-6.43) bat=66.59% status=moving
edge  | [edge] TEL pos=(-0.01,-5.93) bat=66.44% status=moving
edge  | [edge] TEL pos=(0.48,-6.35) bat=66.33% status=moving
edge  | [edge] TEL pos=(0.39,-6.5) bat=66.24% status=moving
edge  | [edge] TEL pos=(0.19,-6.29) bat=66.14% status=moving
edge  | [edge] Comando recibido: MOVE
edge  | [edge] TEL pos=(-0.14,-6.22) bat=66.03% status=moving
